               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.023766,            0.010012,            0.043892,             0.95056,            0.076091,            0.088031,             0.06045,            0.013553,           0.0060547,            0.031352,            0.070002,           0.0033331,           0.0033331
                   1,            0.020981,           0.0058345,            0.024892,             0.91784,             0.17421,             0.19944,             0.14368,            0.012745,            0.005384,             0.01979,            0.039837,           0.0065015,           0.0065015
                   2,            0.020082,           0.0056271,            0.018497,             0.84328,             0.24869,              0.2579,             0.18604,            0.012083,           0.0052017,            0.015222,           0.0095067,           0.0095048,           0.0095048
                   3,            0.018048,           0.0055054,             0.01564,             0.80559,             0.32324,             0.33853,             0.24855,            0.011205,             0.00495,             0.01183,           0.0092575,           0.0092575,           0.0092575
                   4,            0.016854,            0.005277,            0.013146,              0.7961,             0.38539,             0.39774,             0.29404,            0.010815,           0.0048375,                0.01,           0.0092575,           0.0092575,           0.0092575
                   5,            0.016295,           0.0051715,            0.011617,             0.79734,              0.4206,             0.43915,             0.32645,            0.010584,           0.0048091,           0.0087924,             0.00901,             0.00901,             0.00901
                   6,            0.015874,           0.0049915,            0.010329,             0.82795,             0.44228,             0.47079,             0.35213,            0.010372,           0.0047187,           0.0079316,           0.0087625,           0.0087625,           0.0087625
                   7,             0.01568,           0.0049855,           0.0097114,             0.82031,             0.46209,             0.50139,             0.37606,            0.010231,           0.0046751,           0.0072637,            0.008515,            0.008515,            0.008515
                   8,            0.015434,           0.0049232,           0.0090136,               0.806,             0.49365,              0.5358,              0.4047,            0.010117,           0.0046456,           0.0067849,           0.0082675,           0.0082675,           0.0082675
                   9,            0.015267,           0.0049087,           0.0085724,             0.79447,             0.52111,             0.56058,             0.42426,            0.010042,           0.0046378,           0.0063779,             0.00802,             0.00802,             0.00802
                  10,            0.015094,           0.0048774,            0.008096,             0.80952,             0.53213,             0.58234,             0.44027,            0.010001,           0.0046225,           0.0061166,           0.0077725,           0.0077725,           0.0077725
                  11,            0.014961,           0.0048173,           0.0076864,             0.81068,             0.54845,             0.60115,             0.45443,           0.0099449,           0.0046004,           0.0058831,            0.007525,            0.007525,            0.007525
                  12,            0.014924,            0.004826,           0.0074548,             0.81549,             0.55453,             0.61591,             0.46594,           0.0099054,           0.0045865,           0.0056678,           0.0072775,           0.0072775,           0.0072775
                  13,            0.014661,           0.0047435,           0.0069974,             0.80194,             0.56843,              0.6244,             0.47466,           0.0098737,           0.0045734,           0.0054942,             0.00703,             0.00703,             0.00703
                  14,            0.014561,           0.0046979,            0.006664,             0.82244,              0.5664,             0.63741,             0.48577,            0.009842,           0.0045645,           0.0053459,           0.0067825,           0.0067825,           0.0067825
                  15,             0.01439,            0.004663,           0.0063804,             0.81092,             0.58229,             0.64606,             0.49353,           0.0098126,           0.0045542,           0.0052133,            0.006535,            0.006535,            0.006535
                  16,            0.014256,           0.0046468,           0.0063022,             0.79013,             0.59985,             0.65418,             0.49973,           0.0097846,           0.0045456,           0.0051024,           0.0062875,           0.0062875,           0.0062875
                  17,            0.014194,           0.0046365,           0.0061025,             0.79488,              0.6081,             0.66166,             0.50557,           0.0097636,           0.0045362,           0.0050006,             0.00604,             0.00604,             0.00604
                  18,             0.01402,           0.0045964,           0.0059771,             0.79899,             0.61015,             0.66985,             0.51251,           0.0097402,           0.0045281,           0.0049073,           0.0057925,           0.0057925,           0.0057925
                  19,            0.013954,            0.004585,           0.0057321,             0.79809,             0.62542,             0.67814,             0.51975,            0.009721,           0.0045215,           0.0048164,            0.005545,            0.005545,            0.005545
